Date,FlightNumber,Fare
2019-05-31,5J  272,5657.0
2019-05-31,5J  110,4556.0
2019-05-31,5J  112,4156.0
2019-05-31,5J  114,4156.0
2019-05-31,5J  563,7002.0
2019-05-31,5J  561,8723.0
2019-05-31,5J  567,7303.0
2019-05-31,DG 6505,6302.0
2019-05-31,5J  579,6002.0
2019-05-31,DG 6507,6302.0
2019-05-31,5J  589,6002.0
2019-05-30,5J  272,5657.0
2019-05-30,5J  110,4156.0
2019-05-30,5J  112,3756.0
2019-05-30,5J  114,4156.0
2019-05-30,DG 6505,7303.0
2019-05-30,5J  579,8723.0
2019-05-30,DG 6507,6702.0
2019-06-01,5J  272,4156.0
2019-06-01,5J  110,5657.0
2019-06-01,5J  112,3756.0
2019-06-01,5J  114,3756.0
2019-06-01,5J  581,5602.0
2019-06-01,5J  569,5352.0
2019-06-01,DG 6505,5752.0
2019-06-01,5J  579,5752.0
2019-06-01,DG 6507,5502.0
2019-06-01,5J  589,5502.0
2019-06-03,5J  272,3756.0
2019-06-03,5J  110,3756.0
2019-06-03,5J  112,2856.0
2019-06-03,5J  114,3456.0
2019-06-03,5J  563,5352.0
2019-06-03,5J  551,5352.0
2019-06-03,5J  561,5352.0
2019-06-03,5J  567,5352.0
2019-06-03,DG 6505,5102.0
2019-06-03,5J  579,5102.0
2019-06-03,DG 6507,5102.0
2019-06-03,5J  589,5102.0
2019-06-02,5J  272,4156.0
2019-06-02,5J  110,4156.0
2019-06-02,5J  112,3756.0
2019-06-02,5J  114,4156.0
2019-06-02,DG 6505,5102.0
2019-06-02,5J  579,5102.0
2019-06-02,DG 6507,5102.0
2019-06-02,5J  589,5102.0
2019-06-05,5J  272,3756.0
2019-06-05,5J  110,3756.0
2019-06-05,5J  112,3456.0
2019-06-05,5J  114,3456.0
2019-06-05,5J  561,6002.0
2019-06-05,5J  567,5752.0
2019-06-05,5J  553,5752.0
2019-06-05,5J  565,5752.0
2019-06-05,DG 6505,4792.0
2019-06-05,5J  579,4792.0
2019-06-05,DG 6507,4792.0
2019-06-05,5J  589,5102.0
2019-06-04,5J  272,3456.0
2019-06-04,5J  110,3456.0
2019-06-04,5J  112,2856.0
2019-06-04,5J  114,2856.0
2019-06-04,DG 6505,6202.0
2019-06-04,5J  579,6202.0
2019-06-04,DG 6507,6202.0
2019-06-04,5J  589,6202.0
